id	text	hook	duration_seconds	word_count	creator	hook_type	script_archetype	parasocial_levers	quality_score
11	I think it is so fucking hot when a guy is into roleplay. Like, come home early from work and pretend to be the next door neighbor. Or I'll put on a wig and pretend to be your massage therapist who gives you a happy ending.	I think it is so fucking hot when a guy is into roleplay.	13	46	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
12	whenever i'm in a relationship i love sending videos of myself getting ready to my partner whenever they're at work just to distract them. i'll send them something like, do you like this outfit on me? and i'm not even wearing a top yet. i'm evil like that	whenever i'm in a relationship i love sending videos of	13	48	peechi	relatable	thirst_commentary	playful_self_deprecation|direct_address	0.8
13	I don't care what people say, okay? I want a man who's gonna walk around holding on the back of my neck like he owns me. I don't care how it looks. I want that. It sounds hot as fuck.	I don't care what people say, okay?	10	40	peechi	hot_take	fantasy_desire	sexual_tension	0.7
14	The fucking hottest thing that a guy can do is talk during this. Tell me to c- for you, or tell me how good I look with your... in my mouth.	The fucking hottest thing that a guy can do is talk during this.	11	31	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
15	If she carries one of these around with her everywhere she goes, she gives really good top, okay? Hydrated girls give the best because they make that shit sloppy, drooling all over it, letting it trail from their tongue to your...	If she carries one of these around with her everywhere she goes, she gives really good top, okay?	18	41	peechi	challenge	thirst_commentary	challenge|sexual_tension|direct_address	0.9
16	i need a man who can go back to back because i've always had this fantasy of just being completely covered in his while i'm also leaking it from the front and the back door it sounds so hot	i need a man who can go back to back	12	39	peechi	fantasy	fantasy_desire	sexual_tension	0.7
17	Oh, you're a gamer? Do you like support characters? Cause I love to play support for you while you game. Under the table. I'll definitely keep one bar drained if you catch my drift.	Oh, you're a gamer?	11	34	peechi	question	thirst_commentary	direct_address	0.7
18	If it slips in the back door on accident, you're not gonna catch me saying wrong hole. I'll probably say something like finally, which some would say that's a red flag, but you know, god forbid a girl knows what she likes.	If it slips in the back door on accident, you're	12	42	peechi	bold_statement	relatable_rant	playful_self_deprecation|direct_address	0.8
19	If he plans you a date and you didn't even have to ask, you shouldn't even be waiting until you get home to milk that man. You need to be doing it from the passenger seat of the car, okay? I promise you, that man will never feel so appreciated in his life.	If he plans you a date and you didn't even	13	53	peechi	bold_statement	thirst_commentary	direct_address	0.7
20	"I love having (mouth out the word ""sex"") in the shower, but please, for the love of God, use protection. And by that, I mean get a bath mat, okay? Because slipping mid-back shots is not it. I want to be folded in half, but not like that."	"I love having (mouth out the word ""sex"") in the"	13	48	peechi	bold_statement	fantasy_desire	sexual_tension	0.7
21	I want a man who's gonna have the confidence to pull me back by my hair when he's hitting it from behind and say beg for it There is nothing hotter than when a man makes you say it out loud. Oh my god	I want a man who's gonna have the confidence to	13	44	peechi	fantasy	fantasy_desire	sexual_tension|direct_address	0.9
22	I want to reach the level of comfort with a man where we're just sitting across from each other on the couch hanging out and I can just reach my foot over and massage his With my toes, you know, just like curl and scrunch it up in my toes	I want to reach the level of comfort with a	15	50	peechi	bold_statement	fantasy_desire	direct_address	0.8
23	If I see a man roll up his sleeves or like take off his belt, I immediately start wondering what our kids would look like. I think I need help. Or I need some.	If I see a man roll up his sleeves or	12	34	peechi	bold_statement	thirst_commentary	playful_self_deprecation|vulnerability	0.8
24	if he doesn't go down and slurp up my juicy pink taco marinade right after i get back from the gym he's not nasty enough for me okay because i guarantee you i don't give a fuck if you shower first when you get back i will clean it off okay that's the type of fucking passion i need	if he doesn't go down and slurp up my juicy	18	59	peechi	challenge	thirst_commentary	challenge|sexual_tension|direct_address	0.9
25	i want to be with somebody who's so obsessed with me that i have to fight them off because they're constantly trying to put their in me like that's not annoying that's hot they're so infatuated with you they just can't get enough of you	i want to be with somebody who's so obsessed with	14	45	peechi	fantasy	fantasy_desire	sexual_tension|direct_address	0.9
26	A little tip for the men, do not just make her one time, okay? You need to be doing that shit over and over until she's literally shaking and she has to beg you to stop, okay? That's how we want it.	A little tip for the men, do not just make her one time, okay?	15	42	peechi	advice	advice_tip	direct_address	0.7
27	The best kind of is when you're just bedrotting all day together and you're going at it in small spurts over and over like if my pink taco isn't sore afterwards you're not doing your job right.	The best kind of is when you're just bedrotting all	15	37	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
28	My plans this Halloween? I'm hoping that a hot guy puts on a ghost face mask and then chases me around until he catches me and then has his way with me. A girl can dream, okay?	My plans this Halloween?	12	37	peechi	question	thirst_commentary	sexual_tension	0.7
29	Another day, that bitch in my greenie, you like my body, you know I'm a- Another day, that bitch in my greenie, you like my body, you know I'm a-	Another day, that bitch in my greenie,	8	30	peechi	bold_statement	thirst_commentary	direct_address	0.6
30	Guys who have veiny Feel the fucking best because it's so much fucking texture It's oh my god. Some girls are like, you know, it's all veiny and bulgy. Are you fucking kidding me? Yeah, exactly. Please fucking put that in me	Guys who have veiny Feel the fucking best	18	42	peechi	bold_statement	thirst_commentary	direct_address	0.7
31	I fucking love when a man has some explosive force behind his... Because then it's like a fun little mini-game. We can brush up on your target practice skills, and you can use me like aim trainer.	I fucking love when a man has some explosive force behind his.	12	37	peechi	bold_statement	thirst_commentary	direct_address	0.7
32	Guys, you do not need to be embarrassed if you're lasting less than 15 minutes. If you're lasting longer than that, I'm taking it personally. Like, do we have a problem? What, do you think I'm ugly or something?	Guys, you do not need to be embarrassed if you're lasting less than 15 minutes.	11	39	peechi	bold_statement	thirst_commentary	direct_address	0.7
33	when a man's opening a pickle jar for me and you see his like forearm flexing you see all the little striations and the muscle i don't even want the pickle now i want your pickle gimme	when a man's opening a pickle jar for me and	10	37	peechi	bold_statement	fantasy_desire	direct_address	0.7
34	I love a man who's not afraid to whimper, like a dog. If I'm on top and I give it a little squeeze and I just hear that tiny little whimper coming from him, I fucking love that. You have no idea. We're about to go all night.	I love a man who's not afraid to whimper, like a dog.	13	48	peechi	bold_statement	thirst_commentary	direct_address	0.7
35	I do not care how long you last, okay? What I do care about is how quickly afterwards we can go again. Cuz I want you to- in all three holes in the same day.	I do not care how long you last, okay?	11	35	peechi	question	fantasy_desire	direct_address	0.7
36	I want a man who will wear my pink taco like a glove. He needs to be so passionate about filling me that that's all he wants to do. I'm not asking for much here, am I?	I want a man who will wear my pink taco like a glove.	13	37	peechi	fantasy	fantasy_desire	sexual_tension	0.8
37	If you're giving me back shots and you aren't pulling my hair, what are we even doing? I need you to use it like a leash. Full on fistful, tight grab, and then pull me back to you and just whisper in my ear. Am I asking for too much here?	If you're giving me back shots and you aren't pulling my hair, what are we even doing?	14	51	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
38	I have ADHD and whenever I'm, I literally have to go back to back to back to back and non-stop until my pink taco is like throbbing. Like it becomes an all-day thing for me because I cannot stop once I start.	I have ADHD and whenever I'm, I literally have to	17	42	peechi	bold_statement	thirst_commentary	sexual_tension	0.7
39	i am so tired of waking up in a fucking panic from my alarm clock i want a man to wake me up by eating my pink taco until i'm all over his face every day and on the days that i wake up before him i would return the favor	i am so tired of waking up in a fucking	15	51	peechi	bold_statement	fantasy_desire	sexual_tension	0.7
40	Somebody recognized me at the airport and I was in the middle of reading the dirtiest, filthiest scene on my Kindle as he was saying hi. He was like, you do TikTok! You were on my FYP earlier! And I'm just like, meanwhile, gooing, actively gooing in my pants. So, if I was awkward, sorry. Now you know why.	Somebody recognized me at the airport and I was in	25	59	peechi	bold_statement	thirst_commentary	direct_address	0.6
41	People always ask me how I get these pearly whites and aside from a fake tan I use these opalescence go teeth whitening strips that you do yourself at home Don't pay for dentists to whiten your teeth. That shit is expensive for no reason. These do great	People always ask me how I get these pearly whites	15	48	peechi	bold_statement	thirst_commentary	direct_address	0.7
42	When I'm on top, I do not give a fuck if I look pretty for you, okay? I am contorting my body in whatever way is necessary to get the job done. I don't care if I look like a hunchbacked goblin when I'm riding that shit. I am using you.	When I'm on top, I do not give a fuck if I look pretty for you, okay?	13	51	peechi	bold_statement	thirst_commentary	direct_address	0.7
43	I didn't think I would have to say this but here we are. If I'm writing you and there's a piece of hair stuck to my lip gloss, don't just watch me struggle, okay? That's evil. Move it aside for me and then stick your finger in my mouth while you're at it.	I didn't think I would have to say this but here we are.	14	53	peechi	bold_statement	thirst_commentary	direct_address	0.7
44	Nothing gets my pink taco sopping faster than when a man says that he wants to... me. Like, ugh, I'm not gonna let him. I don't want kids. That's not happening. But it's the thought that counts, you know?	Nothing gets my pink taco sopping faster than when a	13	39	peechi	bold_statement	fantasy_desire	sexual_tension|direct_address	0.8
45	i don't know why but the week before i start my time of the month i want backdoor daily and like i i like backdoor but i'm talking like daily i i don't know what starts running through my veins but i fucking crave it i need it	i don't know why but the week before i start	15	48	peechi	bold_statement	fantasy_desire		0.7
46	i like a man who will absolutely ravage me with his hands i don't want this one finger two finger bullshit no i want you to wear my pink taco and my back door like a glove yeah frick me up now follow me i miss you	i like a man who will absolutely ravage me with	16	47	peechi	bold_statement	fantasy_desire	sexual_tension|direct_address	0.8
47	i'm not gonna lie i'm usually a brat on purpose because i fucking love the type of where you are putting me in my place and you remind me that you're usually holding back and i have to tap out first	i'm not gonna lie i'm usually a brat on purpose	13	41	peechi	bold_statement	thirst_commentary	direct_address	0.7
48	I actually get a lot of people that come to me and they're like, Peachy, my guy wants to try a backdoor, but every time we try it, it hurts. Like, what are we doing wrong? My biggest advice for you, if you can't get past that first, like, initial uncomfort, get a wand. Focus that on yourself for, like, 30 seconds. After that, enjoy, okay? You've just opened your third eye, or should I say third hole.	I actually get a lot of people that come to	25	78	peechi	bold_statement	fantasy_desire	direct_address	0.6
49	You only live once. One life. That's all you get. That's why I want to know what it's like to get spit-roasted. God forbid a girl have some aspirations.	You only live once.	11	29	peechi	bold_statement	relatable_rant	direct_address	0.7
50	The key to giving a really good job is actually the things that you say to him while you do it, and how you look at him. You need to worship it, and praise it, and tell him every little detail about it that you love.	The key to giving a really good job is actually	15	46	peechi	advice	thirst_commentary	direct_address	0.7
51	I am not a pillow princess, but if a man is gonna do the work, I fucking love when he will just, like, hold me by my neck and use me to, like, stroke himself like I am his own personal doll. That is so hot, and it feels so good. Nothing is better than that.	I am not a pillow princess, but if a man	18	56	peechi	bold_statement	thirst_commentary	sexual_tension	0.7
52	If I invite you over to my house for the first time and you see my collection, is this a green flag or a red flag? I'm just curious.	If I invite you over to my house for the	9	29	peechi	bold_statement	thirst_commentary	playful_self_deprecation|direct_address	0.7
53	There's something about a man with a mustache that's just so slutty. Like, don't get me wrong, I love it, but you have to know that I'm just picturing myself righting your face now. You did that on purpose, right?	There's something about a man with a mustache that's just so slutty.	12	40	peechi	bold_statement	thirst_commentary	direct_address	0.7
54	I don't usually get this deep on here, but I suffer from separation anxiety, so no, you absolutely cannot pull out. In fact, if you tell me you're close, I'm gonna put that thing in a vice grip with my pink taco.	I don't usually get this deep on here, but I	14	42	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
55	I don't think anyone is ever truly alive until they experience DP and it doesn't have to be with two people okay you can use a toy but I'm just saying some of y'all aren't living	I don't think anyone is ever truly alive until they	15	36	peechi	bold_statement	thirst_commentary	direct_address	0.7
56	Pressing your pink taco up against a water jet is a canon event in every single woman's life, okay? And if she says that she hasn't done that, she's lying to you.	Pressing your pink taco up against a water jet is a canon event in every single woman's life, okay?	11	32	peechi	bold_statement	thirst_commentary	challenge|sexual_tension|direct_address	0.9
57	You have no idea how excited I am to be able to finger-blast my pink taco now that I have short nails again. I am about to make myself for like six hours straight. It's gonna be a good fucking day.	You have no idea how excited I am to be	14	41	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
58	If we ever live together, just know I will randomly come into your office while you're busy just to bend over and show you what kind of I'm wearing in the back door. I love distracting you.	If we ever live together, just know I will randomly	11	37	peechi	bold_statement	thirst_commentary	direct_address	0.7
59	You know, there's nothing like having your ass eaten for the first time. It's a whirlwind of emotions, the experience. At first you're like, ugh, gross. But then you're like, gross, do it again.	You know, there's nothing like having your ass eaten for the first time.	13	34	peechi	bold_statement	thirst_commentary	direct_address	0.7
60	hey guys i thought i'd give you a little update i got my cast off a few days ago it's still very swollen but i can tell it's gonna look really good still have some bruising i can't breathe through my nose just yet i'm super excited to see how much better i'll be able to breathe but yeah i'm doing a lot better	hey guys i thought i'd give you a little update	15	64	peechi	bold_statement	thirst_commentary	direct_address	0.7
61	sometimes it hits me that we really are just animals down at the core because right now I'm sitting here and I'm I'm ovulating I'm like a cat in fucking heat right now just with my ass up in the air whining hoping that somebody comes here and it's me	sometimes it hits me that we really are just animals down at the core	14	50	peechi	bold_statement	thirst_commentary		0.7
62	I don't care if you're busy, okay? If you're my man and you work from home, I will come in and randomly flash you while you're working, okay? This is just to keep morale up. I care deeply about your work performance.	I don't care if you're busy, okay?	12	42	peechi	question	thirst_commentary	direct_address	0.7
63	this is just a reminder that sundress season is already almost over and i don't know about you but i have yet to receive back shots in a sundress and ladies we only have so many sundress seasons in our youth so carpe diem	this is just a reminder that sundress season is already	14	44	peechi	bold_statement	thirst_commentary	relatability|sexual_tension|direct_address	0.9
64	oh you're gonna pull out so you don't love me yeah no just say you don't love me cuz that's what you really mean right I can't believe I bounced on it like a bogo stick for you I let you butter churn my back door	oh you're gonna pull out so you don't love me	19	46	peechi	bold_statement	thirst_commentary	direct_address	0.6
65	It's suddenly like become a trend to hate men and like be mean to men Like girls will post about it online and all the girls in the comments will be like, yeah Don't live for a male validation. I hate men too period but then they wonder why they get treated like shit by men I don't know like if a guy was posting online about how he hated a woman He's probably not gonna find a good woman. Call me a pick me. Oh god	It's suddenly like become a trend to hate men and	24	87	peechi	bold_statement	thirst_commentary		0.6
66	It's actually crazy to me that some women get annoyed that their partner is like constantly like touching them, like wanting them, like that's good. That's what you should want. You want him to want you, right? What are we doing here?	It's actually crazy to me that some women get annoyed	18	42	peechi	bold_statement	fantasy_desire	direct_address	0.7
67	Okay, unarguably the best part about getting back shots is when a man has some heavy hitters And they are just swinging with him giving me a little slap along the way it is the best feeling I love that	Okay, unarguably the best part about getting back shots is	14	40	peechi	bold_statement	thirst_commentary	sexual_tension	0.7
68	My favorite type of man is a gentleman. He'll open the door for you. In fact, if you try to open it yourself, he'll cut in front of you, shut the door, and then open it again for you and say, don't do that again. Sweet, but then in the bedroom, he'll grab you by your neck and just throw you on the fucking mattress and fucking use you.	My favorite type of man is a gentleman.	20	69	peechi	bold_statement	thirst_commentary	direct_address	0.6
69	I've never met a man who wasn't a grower. Like, I'm seriously convinced you guys are making this shit up. It's not possible to have a flaccid 5 in freezing cold temperatures. I think you guys are gaslighting the female population.	I've never met a man who wasn't a grower.	15	41	peechi	bold_statement	thirst_commentary	direct_address	0.7
70	The hottest thing that a guy can do when we're- is make me tell him that he owns it. Like saying, whose is it? And just making me repeat that over and over. Oh my god.	The hottest thing that a guy can do when we're-	11	36	peechi	bold_statement	thirst_commentary	sexual_tension	0.7
71	i fucking love when men talk during sex like, i wanna hear how good it feels for you if you are dead silent when you finish get the fuck out, you psycho the girls want vocals, okay? i don't care if you sound like chewbacca let me hear you	i fucking love when men talk during sex like, i	17	49	peechi	bold_statement	fantasy_desire	direct_address	0.7
72	i'm with a man that i like i can't keep my hands to myself like if we're out at dinner or going to a movie i'm going to be shamelessly trying to cop a feel okay and if it's dark enough in that room i might just try to give you a whole thai massage right through the pants i don't care i don't care who sees	i'm with a man that i like i can't keep my hands to myself	15	67	peechi	bold_statement	thirst_commentary	direct_address	0.7
73	The amount of people commenting on my functional rhinoplasty before and after video saying either it looks the same or that it was better before is actually crazy to me. So I'm about four weeks post-op, it's still swollen. It's looking good, it is still swollen. I got this surgery done because I had a deviated septum. My nose literally went that way and when I breathed in, my nostril would collapse in, suck in, and I couldn't breathe. I told my surgeon I didn't want to change too much about my nose. Yes, I did still change some things about my nose, mostly from the side profile, okay? That's it. The front is the same, it's just not crooked and I can breathe. So just to clear some stuff up for those of you who, I guess, don't really understand what I got done.	The amount of people commenting on my functional rhinoplasty before	45	145	peechi	bold_statement	fantasy_desire	sexual_tension|direct_address	0.6
74	Do not let me on top if you plan to pull out, okay? Cause if I get up there, I am squeezing and I will be riding that shit like I am trying to milk it out of you. I'm not getting off.	Do not let me on top if you plan to pull out, okay?	11	43	peechi	bold_statement	thirst_commentary	direct_address	0.7
75	I will die on this hill. I think that if you don't like jobs, you just haven't had a good one yet. Oh, but I can do it better myself. No, you can't. Are you gonna drool all over your... and worship it? You're not, okay? So shut the fuck up.	I will die on this hill.	17	51	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
76	Hey Samantha, what do you want to be for Halloween? Fucked.	Hey Samantha, what do you want to be for Halloween?	9	11	peechi	bold_statement	fantasy_desire	direct_address	0.6
77	I don't think I'm asking for too much, okay? All I want is a man who's gonna kiss me like he missed me. I don't care how long I've been gone. I want him to fuck me like he owns me. And I want him to make me three times a day. Is that so hard?	I don't think I'm asking for too much, okay?	16	56	peechi	question	fantasy_desire		0.7
78	Women are not property. However, hear me out, do I like it and find it insanely fucking attractive when a guy says you're mine, I own you? Yeah. But just for funsies though.	Women are not property.	15	33	peechi	bold_statement	thirst_commentary	direct_address	0.7
79	If a man tells me my stretch marks are hot and grabs onto that little fatty pouch at the bottom of my stomach and says it's sexy and he loves it, you fucked up, okay? Cuz now I'm never letting you go. Till death do us part, motherfucker.	If a man tells me my stretch marks are hot	15	48	peechi	bold_statement	thirst_commentary	sexual_tension|direct_address	0.8
80	I've been working out six days a week for the last, like, two, three years. Maybe I'm trippin', but, like, I don't think this is flat. I think you guys are just cooked. You're used to seeing BBLs everywhere. Like, I don't know.	I've been working out six days a week for the last, like, two, three years.	15	43	peechi	bold_statement	thirst_commentary	direct_address	0.7
81	You can't expect that man to treat you like a princess if you don't also treat him like a prince. Like, when's the last time you just spontaneously gave him a... job? I guarantee you, if you made that a frequent occurrence, he would topple empires for you.	You can't expect that man to treat	16	48	peechi	bold_statement	thirst_commentary	direct_address	0.7
82	i guess this one's for my female followers but do you ever like dj the pink taco so hard that you start begging like please please please even though like no one's there but you i need to touch grass don't i	i guess this one's for my female followers but do	14	42	peechi	bold_statement	thirst_commentary	relatability|sexual_tension|direct_address	0.9
83	If they call you clingy, they just don't like you. What the... Who... Who said that? What?	If they call you clingy, they just don't like you.	11	17	peechi	bold_statement	thirst_commentary	direct_address	0.7
84	Do not be fooled by these people online who will tell you that women don't want a simp, okay? That is EXACTLY what we want. We read romance books about men who are OBSESSED with their girls, and we expect nothing less, okay?	Do not be fooled by these people online who will tell you that women don't want a simp, okay?	15	43	peechi	bold_statement	fantasy_desire	direct_address	0.7
85	"Fully convinced that girls that don't (mouth out ""fuck""), their a man, often don't like them. Because if I like you, I'm going to be on top of you 24-7. Like, you're is going to be sore from how much I'll be writing it. It doesn't make sense to me."	"Fully convinced that girls that don't (mouth out ""fuck""), their"	15	50	peechi	bold_statement	thirst_commentary	direct_address	0.7
86	Nothing makes me go the extra mile more than just a little bit of praise if I'm giving you and you say something like Good girl, or you're taking it so well You fucked up. Okay, that's my trigger word. I'm about to send you to another dimension	Nothing makes me go the extra mile more than just	16	48	peechi	bold_statement	praise_dynamic	praise|direct_address	0.8
87	If you are eating her pink taco and she lets out that fuck while exhaling, do not change it up. There is literally nothing more frustrating than telling a man that is exactly how I want it. And then he switches what he's doing. No!	If you are eating her pink taco and she lets	15	45	peechi	bold_statement	fantasy_desire	sexual_tension|direct_address	0.8
88	You spit or swallow? What kind of silly question is that? I'm a gym girl, okay? I need to hit these protein goals somehow. Matter of fact, I'm about to go hit a workout, so why don't you, uh, top me up?	You spit or swallow?	11	42	peechi	question	thirst_commentary	direct_address	0.7
89	you know when a man's is soft and it's in that like gummy worm state where it's just like squishy and malleable you ever just want to like like just take a huge massive munch out of that intrusive thoughts man I really want to	you know when a man's is soft and it's in	19	45	peechi	bold_statement	fantasy_desire	relatability|direct_address	0.7
90	Being a bratty sub is the best because I'm just doing shit just to tick you off until you get to a boiling point and you're like, don't make me come over there and bend you over. And like, that was my master plan all along, don't threaten me with a good time.	Being a bratty sub is the best	14	53	peechi	bold_statement	thirst_commentary	direct_address	0.7
91	i ordered a tentacle book for the back door like a week and a half ago waiting for a sex toy to come in the mail is a very interesting humiliating feeling because i am so down bad while i am waiting for this thing to come in the mail that i had a dream about using it last night what the fuck	i ordered a tentacle book for the back door like	24	63	peechi	bold_statement	thirst_commentary		0.6
92	If your makeup isn't fucked up after giving him a job, you're not doing it right, okay? Cause you need to be covered in spit, drooling everywhere, you gotta make it bubbly, it's the only way to do it.	If your makeup isn't fucked up after giving him a job, you're not doing it right, okay?	12	39	peechi	challenge	thirst_commentary	challenge|sexual_tension|direct_address	0.9
93	Dry beading is the biggest red flag because what do you mean? You can't just go get some Or coconut oil lotion, whatever the fuck you use it enhances the experience. It makes it feel better You can't even just do that for yourself for your you time. I can't fucking trust you	Dry beading is the biggest red flag because what do you mean?	18	53	peechi	bold_statement	thirst_commentary	playful_self_deprecation|direct_address	0.8
94	where are the guys who go for multiple rounds cuz i'm not a one-round girl i i like my sessions short and fast like bunny rabbits and then we roll over refuel and we're back at it again in 20 minutes i could go like that all fucking day	where are the guys who go for multiple rounds cuz	14	49	peechi	bold_statement	thirst_commentary		0.7
95	Unpopular opinion, I guess, but you don't have to have a lot of bodies to have a lot of experience, alright? I've practiced with enough silicone to know how to make your soul leave your body.	Unpopular opinion, I guess, but you don't have to have a lot of bodies to have a lot of experience, alright?	11	36	peechi	hot_take	thirst_commentary	direct_address	0.7
96	Whenever I'm home, and I'm not working my mind is immediately telling me to go DJ scratch the pink taco I should be doing something productive like folding my laundry or cleaning my room But my brain is just like or you know what we could do	Whenever I'm home, and I'm not working my mind is	16	47	peechi	relatable	thirst_commentary	sexual_tension|direct_address	0.8
97	If I give you in the morning, just know it's not just for you, okay? I have my selfish reasons. It's to keep me on your mind all day. That way when you get home, I get a little something as a reward.	If I give you in the morning, just know it's not just for you, okay?	13	43	peechi	bold_statement	thirst_commentary	direct_address	0.7
98	Alright, listen, I don't make the rules, but men, if your girl has long nails, it is now your responsibility to DJ Scratch the pink taco for her, okay? Because she can't do it herself, and for the sake of her mental health, she needs you to help her with that.	Alright, listen, I don't make the rules, but men, if	16	51	peechi	bold_statement	thirst_commentary	challenge|sexual_tension|direct_address	0.9
99	there is nothing fucking hotter than a man who isn't afraid of a little period like just because it's my time of the month does not mean that my drive goes away in fact sometimes it amplifies it so i need a man who's not afraid to get a little freaky	there is nothing fucking hotter than a man who isn't	15	51	peechi	bold_statement	fantasy_desire	sexual_tension	0.7
100	Why do I always have to be so goddamn boring during my time at the mall? I can't DJ scratch the pink taco because that just makes me need to be more. And I can't do backdoor, just trust me on that one. The girls know why. Not a good time for that.	Why do I always have to be so goddamn boring during my time at the mall?	16	53	peechi	question	thirst_commentary	sexual_tension	0.7
101	I won't get mad at you if you want to kick it with the boys and play some online games as long as you let me play with your joystick while you do it. With the microphone on. If you mute it, I stop.	I won't get mad at you if you want to	14	44	peechi	bold_statement	fantasy_desire	direct_address	0.7
102	my mom told me not to talk to strangers but when i'm bored i like to go online and random video chat people that i don't know and 90% of the time they say i look like i do and like i'm mostly offended that they're right what about me looks like what about me looks like i do is this is this a diss or a compliment i don't know	my mom told me not to talk to strangers but	25	71	peechi	bold_statement	thirst_commentary		0.6
103	favorite type of man is a gentleman who will open the door for me pull out the chair for me but in the bedroom he will throw me onto the mattress and just put his hand around and just fucking use me	favorite type of man is a gentleman who will open	13	42	peechi	bold_statement	thirst_commentary		0.7
104	all right finger me if i'm wrong but i think it is way hotter to wear a big oversized t-shirt with nothing else on underneath other than a plug in the back door than it is to wear lingerie	all right finger me if i'm wrong but i think	10	39	peechi	bold_statement	thirst_commentary	sexual_tension	0.7
105	You know, you gotta try and look at things from the bright side. If you've never had good, it's- it's probably just because you're- it's- it's too big. It's just too big for her to give you good brain. So, you know, you win some, you lose some.	You know, you gotta try and look at things from the bright side.	18	48	peechi	bold_statement	thirst_commentary	direct_address	0.7
106	if you want to date me you need to know what you're signing up for because i have a built-in waterfall okay and you're about to be subjected to some guantanamo bay level interrogation water when a navy seal is about to finish their training they bring me out i'm the final boss okay	if you want to date me you need to know what you're signing up for	16	54	peechi	bold_statement	fantasy_desire	direct_address	0.7
107	my favorite type of man is one who doesn't look at as Competition like he's not scared of being overshadowed by it He sees it as like an accessory to spice things up. That is so fucking hot to me	my favorite type of man is one who doesn't look	13	40	peechi	bold_statement	thirst_commentary	sexual_tension	0.7
108	oh i don't care how big your is okay i want to know how low the boys hang are they like splashing the toilet bowl water when you sit down are they gonna like swing and smack me when you're hitting it from behind	oh i don't care how big your is okay i	17	44	peechi	bold_statement	fantasy_desire	direct_address	0.7
109	i'm gonna throw you for a loop with this one i have a breeding kink like the thought of getting pies and the thought of getting pregnant sounds so hot but i don't want kids huh make that make sense	i'm gonna throw you for a loop with this one	15	40	peechi	bold_statement	fantasy_desire	sexual_tension|direct_address	0.8
110	All right, listen, you know that you're giving good when you're down there and you start to sound like Gollum from Lord of the Rings You know That's how it's supposed to sound it's not supposed to sound good	All right, listen, you know	15	39	peechi	bold_statement	thirst_commentary	direct_address	0.7
